Community,Protein
7,C4orf3
7,ELN
7,RAB39A
7,TAS2R7
7,SYT2
7,TAS2R41
7,TSPAN5
7,MC2R
7,OPALIN
7,SGMS2
7,AS3MT
7,SH3GLB1
7,TSC22D3
7,MAEA
7,CNOT6
7,VPS4A
7,ARL6IP4
7,CARS
7,COPS6
7,SHPK
7,QPRT
7,C11orf31
7,HN1L
7,SIAH1
7,TFF2
7,HIST1H4I
7,TLR1
7,DFNA5
1,AP3B1
1,ETFA
1,STOM
1,PSMD8
1,PMPCA
1,PITRM1
1,ADCK4
1,BZW2
1,LARP1
1,DDX21
1,nsp11
1,TBCA
1,nsp13
1,CIT
1,HSBP1
1,PCNT
1,FGFR1OP
1,PRKACA
1,RDX
1,CENPF
1,TLE3
1,AES
1,GOLGB1
1,PDE4DIP
1,CEP135
1,CEP68
1,CNTRL
1,ERC1
1,CLIP4
1,NIN
1,CEP112
1,MIPOL1
1,USP13
1,GCC1
1,JAKMIP1
1,GORASP1
1,FYCO1
1,C1orf50
1,CEP250
1,HOOK1
1,NINL
1,nsp14
1,GLA
1,SIRT5
1,SLC27A2
1,EIF4E2
1,IDE
1,nsp5
1,HDAC2
1,GPX1
1,TRMT1
1,RAB10
1,TOR1AIP1
1,ZNF503
1,PPT1
1,MAP7D1
1,RAE1
1,SDF2
1,SIL1
1,GPAA1
1,ABCC1
1,GHITM
1,BSG
1,IRAK1
1,MED24
1,FADS2
1,ATP6V0A2
1,ALDH1A2
1,HAX1
1,PC
1,SDF4
1,HAUS6
1,NME3
1,PCCB
1,SDPR
1,RNF8
1,ZNF250
1,PEG10
1,FSCN1
1,HSPA5
1,SLC39A14
1,PIGU
1,RABL3
1,SLC35F6
1,ATP5H
1,COTL1
1,MSN
1,SETD2
1,SLK
1,MET
1,DLG1
1,KIAA1598
1,SNX27
1,VPS26A
1,NEDD1
1,GPI
1,EZR
1,RAB21
1,MAPRE1
1,CNDP2
1,AKR1B1
1,ITCH
1,PGM1
1,PTGR1
1,GLO1
1,UCHL1
1,HINT1
1,SNX2
1,NOTCH1
1,NCEH1
1,EEA1
1,RAB13
1,SUMF2
1,CAP1
1,BTAF1
1,RNF213
1,PFKP
1,NUP188
1,NDUFA12
1,RFT1
1,LCLAT1
1,DAD1
1,FAM213A
1,TM9SF4
1,CTNNA1
1,STT3A
1,SCAMP3
1,GOLGA5
1,TMED2
1,OCIAD2
1,TM9SF2
1,MAVS
1,FGB
1,ITGA3
1,IRF3
1,NLRP12
1,DDOST
1,TMEM33
1,MAGT1
1,SPECC1
1,HNRNPU
1,SLC2A1
1,PRMT5
1,CDIPT
1,PGRMC2
1,SEC24B
1,CES1
1,SLC27A4
1,RAB35
1,ACOT7
1,CLTC
1,DYNC1I2
1,EMD
1,VWA8
1,UBXN4
1,FAF2
1,TRAM1
1,SLC7A11
1,SLC25A4
1,EIF6
1,TMEM205
1,LBR
1,FADS1
1,ARL1
1,NPC1
1,ATP2B1
1,PAFAH1B1
1,TMX2
1,HSD17B12
1,HSD17B11
1,PTPLAD1
1,RAB8B
1,TMCO1
1,SMU1
1,LSG1
1,PSMD1
1,PSMD4
1,SLC39A10
1,WDR18
1,RPL7A
1,RPL8
1,RPL9
1,RPL27
1,RPL27A
1,RPL36AL
1,RPS6
1,SCD
1,SDHA
1,SHMT2
1,SNRPD1
1,SOAT1
1,SRC
1,STIM1
1,YES1
1,HM13
1,YIPF5
1,RAB1B
1,UTP15
1,MYADM
1,BUB3
1,COPB2
1,TRIP11
1,ABCG2
1,MPDU1
1,TP53I11
1,WDR1
1,ARPC4
1,TOMM40
1,SEC23A
1,WDR4
1,PGRMC1
1,SUGT1
1,IMMT
1,WDR5
1,SUPT16H
1,CYBA
1,DDB2
1,DHX9
1,LRWD1
1,BOP1
1,UBR4
1,TMEM245
1,FBXO22
1,AP3M1
1,PRPF19
1,GOLGA4
1,WDR62
1,FLVCR1
1,SLC25A5
1,SLC35B2
1,IMPA1
1,LTA4H
1,MYO1C
1,EIF3L
1,PFN1
1,NLE1
1,PPIB
1,TMEM160
1,CLN6
1,DARS2
1,ARL8B
1,AGPAT5
1,AGTRAP
1,PSMD3
1,PBXIP1
1,RAB3B
1,RAC1
1,RB1
1,RPL22
1,RPL35A
1,RPL37A
1,RPS4Y1
1,RPS27
1,PPAN-P2RY11
1,TCP1
1,GGCT
1,DERL1
1,NOL9
1,SFXN3
1,SEH1L
1,WDR75
1,CUL1
1,SERPINH1
1,MCU
1,SLC16A3
1,PDIA4
1,PSMD6
1,PACSIN2
1,CCDC138
1,YTHDF3
1,RBM47
1,PRRC2A
1,TOP3B
1,FXR2
1,ARID2
1,CDR2
1,PKP3
1,CHUK
1,AMOTL1
1,SYNPO2
1,PPP6R1
1,PHLDB1
1,MTCL1
1,LATS2
1,CDR2L
1,CHRAC1
1,IPO9
1,KIDINS220
1,BEGAIN
1,ARHGAP39
1,CEP78
1,CARD6
1,PKP4
1,NAV3
1,NAV2
1,KIAA0753
1,CHD1
1,FLII
1,PIBF1
1,RNH1
1,PPFIA1
1,AIP
1,AKT1
1,MCCC1
1,CAP2
1,LMNA
1,TOMM22
1,SCYL1
1,RINT1
1,TMPO
1,ZBTB12
1,PIAS4
1,RGPD3
1,PAPSS1
1,EEF1G
1,ERO1L
1,MRPL16
1,BLVRB
1,TRAF2
1,TUFM
1,CAMSAP1
1,GNAS
1,STRIP2
1,PRPF8
1,DLST
1,ECHS1
1,PJA2
1,CHAF1A
1,MYBBP1A
1,NOP56
1,PES1
1,MKI67
1,ZNF280C
1,CACTIN
1,SRP14
1,TOP2A
1,POLDIP3
1,MDC1
1,GPRIN1
1,TBC1D22A
1,MIA3
1,MTMR6
1,SEC23IP
1,PSMC3
1,IPO4
1,PICALM
1,ARFGAP2
1,SQSTM1
1,AGRN
1,ASAH1
1,PLOD1
1,RCN1
1,RCN2
1,CHID1
1,AARS
1,ENO1
1,PDHB
1,TRMT61B
1,PTCD3
1,AARS2
1,NDUFAF5
1,YARS
1,DNAJA3
1,TIMM50
1,LONP1
1,ATP6V0D1
1,SMO
1,ACAA2
1,ACAP2
1,KIAA1524
1,DSG2
1,HSPA1B
1,LYN
1,MAP4K5
1,MARCKS
1,MPP1
1,PACS1
1,PTPN13
1,RGP1
1,SCRIB
1,SLMAP
1,SPRED2
1,SYNM
1,EIF3E
1,WIBG
1,CAMKK1
1,CEP192
1,CRK
1,HAUS3
1,MYO1B
1,PFDN1
1,RASSF7
1,TRIM27
1,ACOT13
1,C19orf53
1,CCDC137
1,CCNB1
1,CDC20
1,CEP76
1,CSNK1D
1,DDX6
1,EDF1
1,HIST1H2AC
1,HMGN2
1,KLF16
1,MRPL34
1,MRRF
1,MVB12A
1,NOP16
1,PLCB3
1,POC1B
1,PPP1R35
1,PSRC1
1,PTTG1
1,RPS28
1,RRM2B
1,SEPT5
1,C9orf114
1,THUMPD3
1,ACOT8
1,ANKRD50
1,CCDC9
1,COG8
1,CRKL
1,JUN
1,PIK3C2B
1,RIOK1
1,SIRT1
1,SORBS1
1,TBC1D5
1,TRAF7
1,UTRN
1,VCL
1,GART
1,CDC37
1,PEX5
1,RASSF8
1,RPAP1
1,AGTPBP1
1,BAG3
1,PPP6R3
1,STAT1
1,SYNJ2
1,DSG1
1,KATNB1
1,KIF1B
1,ACTR10
1,ACTR1A
1,LCMT2
1,HOXB9
1,PTMS
1,DYNLRB1
1,KEAP1
1,MYH10
1,PML
1,TACC2
1,CSTF2
1,HAUS7
1,KDM3B
1,WNK1
1,TPM1
1,ESRRA
1,SDAD1
1,TFAM
1,ZFP91
1,ZFYVE16
1,CHTF8
1,PRDX5
1,PSMC6
1,LRRFIP2
1,DLG3
1,HMGN4
1,NUDT16L1
1,RPL19
1,SDF2L1
1,PPIA
1,RAB3GAP2
1,UMPS
1,WDR6
1,PSMD12
1,SNRNP200
1,PDLIM5
1,ANKIB1
1,UBE4B
1,CNOT6L
1,CIAPIN1
1,MBNL1
1,ZC3H4
1,SFN
1,ZKSCAN8
1,BCL9
1,BRCA1
1,OAS3
1,H2AFY
1,DES
1,SNAPC1
1,ATP5J
1,RNF20
1,KIF5B
1,TPR
1,RABEP1
1,HGH1
1,ZFR
1,PPP2R2C
1,SERPINB6
1,VPRBP
1,MOV10L1
1,F2
1,RBM4
1,SEPT2
1,HP
1,DNAJB11
1,PPP2R1A
1,XRCC5
1,KRT10
1,ALB
1,MSH3
1,KRT2
1,YWHAQ
1,COX7A2
1,MYL12A
1,GNB4
1,PGD
1,TUBB6
1,ACTBL2
1,SDCBP
1,ANXA2
1,NAMPT
1,EPPK1
1,TUBB2A
1,THOC2
1,THOC3
1,HIST1H2AH
1,ACIN1
1,SNRPA
1,SNRPB
1,SRM
1,TFCP2
1,CSRP2
1,USP9X
1,GRWD1
1,TRIOBP
1,SYNJ1
1,DCTN3
1,NCK1
1,CBL
1,EEF1B2
1,DIP2A
1,CCDC91
1,TXLNG
1,MGEA5
1,PLS3
1,SON
1,UBFD1
1,SART1
1,SNRPB2
1,EEF1D
1,YAP1
1,MFAP1
1,UBE2M
1,CCDC174
1,PRPF38A
1,TCF20
1,DPYSL4
1,HMMR
1,BTF3
1,ACTR1B
1,CASP3
1,YWHAG
1,RBM6
1,FOXC1
1,LZIC
1,OPTN
1,ARGLU1
1,ELP6
1,PPP1R7
1,ELP5
1,RQCD1
1,ATXN2
1,C16orf70
1,UNK
1,BCAS3
1,RBM12
1,CDC123
1,HIST1H2AB
1,H2AFZ
1,CBX1
1,METAP2
1,CCAR1
1,RBM15
1,AIMP1
1,TIMM13
1,MYL6
1,MPP5
1,ABCF2
1,CDH6
1,CDH20
1,LSM12
1,PTP4A1
1,PRKAB1
1,KLF15
1,ITGB3
1,UBE2D2
1,VWF
1,C3
1,TIMM23B
1,PRPF31
1,KIF5A
1,CPSF6
1,THNSL1
1,GTF3C4
1,NHP2L1
1,TPP1
1,LRRFIP1
1,PRPF3
1,MACF1
1,KSR1
1,EHBP1L1
1,MAP4K2
1,SLC17A5
1,SMC6
1,ARL15
1,IGHG1
1,DNAJC5
1,TTR
1,FAM49A
1,SH3GLB2
1,BAIAP2
1,ACOT1
1,USP5
1,HEBP1
1,LGALS8
1,MAPK3
1,ZNF185
1,SOD2
1,HSPB1
1,AMD1
1,C11orf73
1,NDUFAF7
1,ABHD4
1,VPS25
1,CWC25
1,ANXA7
1,MED1
1,AURKB
1,IFI30
1,MAD1L1
1,MYO1E
1,ACAD11
1,LEO1
1,ZNF638
1,MLLT11
1,SMC3
1,SMDT1
1,CRTC2
1,E2F5
1,C5orf51
1,BORA
1,CBWD1
1,R3HCC1L
1,GSN
1,CIAO1
1,USMG5
1,UQCRH
1,UCK2
1,QRICH1
1,TUBB
1,PSMD9
1,DFFA
1,QKI
1,POLE4
1,POLE3
1,MSH2
1,GTF3C6
1,CD2BP2
1,CEP170
1,CHMP2B
1,ARAF
1,CUL4B
1,MAGEB2
1,MASTL
1,NCAPG
1,RNF169
1,ZBTB33
1,IRS2
1,SEPT9
1,WDR33
1,FAF1
1,SUPT6H
1,TSC22D2
1,CLTB
1,EIF4G1
1,ATF1
1,KPNA3
1,CREB1
1,ANKS1A
1,ATXN2L
1,CALM1
1,CDK11B
1,CLASP1
1,CWC15
1,DDX42
1,EDC3
1,EGLN1
1,ITSN1
1,KANK1
1,MIOS
1,NUDT12
1,PDZRN3
1,PHLDB3
1,PIP4K2B
1,PPIP5K2
1,PRRC1
1,SHFM1
1,SMNDC1
1,STRIP1
1,TFIP11
1,TGM2
1,TIPRL
1,TJP2
1,TRIO
1,TRIP4
1,CHERP
1,CTPS1
1,LIG3
1,PROP1
1,ARAP3
1,CTBP1-AS2
1,KLHL20
1,VEGFB
1,C1QTNF6
1,C22orf42
1,CCDC57
1,KALRN
1,LBX1
1,MTUS2
1,NOTO
1,REL
1,ENTHD2
1,TRIM50
1,TRIML2
1,TCF4
1,N4BP2L2
1,MEOX2
1,TFDP3
1,ZMIZ2
1,SS18
1,CNN3
1,BPTF
1,KMT2A
1,RAD9A
1,KMT2D
1,NCOR1
1,CEBPB
1,PRRT2
1,PRKAR1B
1,GATA2
1,EP300
1,BRD7
1,MDM2
1,ATRIP
1,LATS1
1,LIMD1
1,PLCD3
1,PLCB2
1,CAMK2B
1,PHLPP2
1,CSF1
1,SMTN
1,DNAJC2
1,IMPDH1
1,TCF25
1,TAF15
1,C5orf45
1,MED4
1,MED17
1,MED14
1,FAM83D
1,AP3D1
1,HRNR
1,FLNB
1,PPL
1,IRF2BP2
1,APOA1
1,TF
1,ARRB2
1,PRSS3
1,C4B
1,U2SURP
1,SERPINA3
1,MIS18A
1,FLG2
1,TGM1
1,RGS10
1,ACAA1
1,CALD1
1,ERG
1,EVPL
1,ACSL1
1,G6PD
1,IARS
1,IGFBP7
1,KRT6A
1,KRT7
1,KRT15
1,STMN1
1,MLH1
1,PAFAH1B2
1,PRCC
1,PROX1
1,RELN
1,PTPRB
1,RPA1
1,SAFB
1,SPAST
1,TSN
1,VTN
1,SORBS2
1,RANBP3
1,CHD1L
1,SNCAIP
1,RB1CC1
1,EPM2AIP1
1,MVP
1,PLIN3
1,STK25
1,MAP3K2
1,POP4
1,EHMT2
1,C11orf58
1,DIDO1
1,AAK1
1,MMRN1
1,KDM2A
1,SMC5
1,ADNP
1,MLYCD
1,CARHSP1
1,CD2AP
1,STK39
1,EHD2
1,DBR1
1,KIAA1217
1,SCAF4
1,NPEPL1
1,GSDMD
1,RABEP2
1,UBA5
1,LIMD2
1,FAM172A
1,CHMP4B
1,SEPT10
1,FAM115C
1,FAM102A
1,PALM2-AKAP2
1,KRT4
1,STAT3
1,ARIH1
1,CDKN2AIP
1,NEURL4
1,PGBD2
1,NBPF19
1,CCDC33
1,KCNH8
1,ANKRD34A
1,CD300LF
1,VWA5B2
1,GLI3
1,KIAA1551
1,C9orf173
1,ZNF440
1,SHROOM2
1,PIP4K2C
1,CWC22
1,ZMYM4
1,CACUL1
1,RBMY1A1
1,YEATS4
1,ZBP1
1,RIPK3
1,TEAD4
1,PHKG2
1,PIM2
1,TSSK3
1,IKBKB
1,LARS
1,PARK2
1,KLHL24
1,KLHL8
1,ZFAND4
1,FBXL5
1,TRIM68
1,ASB13
1,MESP2
1,KRT79
1,MRM1
1,CYP11B1
1,SSR4P1
1,KIAA0141
1,SMPX
1,TMEM204
1,BTNL8
1,DPEP2
1,KIF25-AS1
1,ZBTB25
1,F7
1,F12
3,CWC27
3,RIPK1
3,UBAP2
3,USP54
3,nsp15
3,NUTF2
3,ARF6
3,RNF41
3,AATF
3,nsp9
3,GTF2F2
3,FBN1
3,FBN2
3,NUP214
3,NUP62
3,DCAF7
3,MIB1
3,SPG20
3,NEK9
3,MAT2B
3,FBLN5
3,MDN1
3,DPH5
3,GLTSCR2
3,ALDH5A1
3,NFE2L2
3,RBFOX2
3,UBE3C
3,POLD3
3,CALU
3,GBF1
3,ZNF148
3,MOB4
3,SPIRE1
3,CEP170B
3,DOCK6
3,BMPR1B
3,ZW10
3,STAT6
3,TAX1BP1
3,ANXA6
3,LRIG3
3,EIF2A
3,TMEM156
3,AKR1A1
3,ECE1
3,USP8
3,CBR1
3,SLC30A1
3,PVRL2
3,RIF1
3,INTS1
3,TMED10
3,LEMD3
3,STX5
3,IGFBP3
3,CANX
3,BAG2
3,DBT
3,DNAJB1
3,KTN1
3,LMNB1
3,TEX264
3,GOPC
3,RPS24
3,FLOT1
3,TBL3
3,USP39
3,PNPLA6
3,DSTN
3,CPNE8
3,AP1B1
3,FBL
3,FHL1
3,POGZ
3,RSL1D1
3,IREB2
3,KIRREL
3,KIF21A
3,WDR45B
3,SMAP1
3,RPL23A
3,RPS26
3,SNX3
3,SOCS6
3,LSM14B
3,OTUD4
3,ZFP36L2
3,USP10
3,EIF5B
3,RPS20
3,TRAF3IP2
3,CAPN7
3,CACYBP
3,HPGD
3,PSMB4
3,IBTK
3,NUPL2
3,YIPF6
3,P4HB
3,SSR4
3,TMF1
3,GJC1
3,WDR41
3,PRR14L
3,MGA
3,RBBP7
3,MAGED1
3,TOB1
3,GMEB1
3,GMEB2
3,NFIL3
3,NFRKB
3,SPA17
3,WDR55
3,CHD8
3,KDM5D
3,SUPT3H
3,ALYREF
3,UTP14A
3,BAZ2A
3,CDCA5
3,SPTY2D1
3,PHF3
3,GTF3C1
3,GTF3C2
3,KNOP1
3,NVL
3,DDX41
3,MCM10
3,WIZ
3,BLM
3,ZNF106
3,TCEB3
3,SMARCA5
3,NOLC1
3,PPIG
3,HGS
3,NUMBL
3,MON2
3,GGA3
3,RABGEF1
3,CLINT1
3,ARCN1
3,SMAP2
3,SCN9A
3,OXR1
3,B4GALT1
3,EIF2B5
3,ADD1
3,CDC42EP1
3,EPB41L5
3,FAM126A
3,PARD3
3,SNAP23
3,TTC1
3,UFD1L
3,VPS13C
3,FBXO5
3,MICALL1
3,STRAP
3,ADK
3,CSTF2T
3,FUK
3,HSP90AB1
3,IQCB1
3,PFDN4
3,PFDN6
3,TAB2
3,TUFT1
3,VBP1
3,NOL7
3,NUSAP1
3,OARD1
3,RRM2
3,TMA16
3,ZNF691
3,PDLIM7
3,ARHGEF16
3,BCAR1
3,BCAR3
3,CAMSAP2
3,CAT
3,CEP55
3,CKS2
3,DCXR
3,DLGAP5
3,DNPEP
3,DOCK4
3,EIF2B2
3,FAM117B
3,FBXO42
3,GGA2
3,HTRA2
3,KDM3A
3,LENG8
3,LIMCH1
3,PALLD
3,PPP2R5D
3,PRKAA1
3,PSME1
3,ROCK2
3,SARS
3,SMG5
3,SMG6
3,SMG9
3,STAM
3,STRBP
3,TBPL1
3,TRIM9
3,XIAP
3,ANKRD28
3,CLASP2
3,SPATA5L1
3,ZNF24
3,SKA3
3,CENPV
3,CHTOP
3,RPL39P5
3,FN3KRP
3,PPP1R3F
3,C12orf43
3,MKL1
3,MYBL2
3,QSER1
3,STRN4
3,UNG
3,PSMC3IP
3,CC2D1B
3,CIZ1
3,CSTF1
3,DCLK1
3,DNAAF2
3,GTF2F1
3,NDUFS5
3,SATB2
3,UBE3D
3,ZZZ3
3,MAPK13
3,URB1
3,WBP11
3,AGFG1
3,NCK2
3,RABGAP1
3,RAB6B
3,BUD31
3,CC2D1A
3,MINK1
3,ABCC5
3,ACTN1
3,BZW1
3,EIF1
3,NUP43
3,TTLL12
3,NACAD
3,PCMT1
3,NSFL1C
3,SNAP29
3,PINX1
3,MELK
3,TUBG1
3,MZT2A
3,RPS6KA6
3,KIAA0020
3,ZPR1
3,NT5DC1
3,CMAS
3,GLYR1
3,EIF2S2
3,SRPK3
3,CTCF
3,KIF2B
3,TRMT2A
3,LLPH
3,NKTR
3,CHD3
3,CDK12
3,TAF2
3,URB2
3,RNF40
3,TANK
3,TBC1D1
3,SUGP2
3,HBB
3,GNAI3
3,HAGH
3,RPS5
3,SLC39A7
3,RAB1C
3,ACTR2
3,ATP5I
3,MRTO4
3,MRPL12
3,NHP2
3,DOPEY2
3,MAPT
3,PPP2CA
3,PPAT
3,SEPT6
3,AGO3
3,ARPC5
3,NAA50
3,DUT
3,DNAJC9
3,HLCS
3,LPP
3,ATP6V1G1
3,HIST1H1D
3,TCEA1
3,CAPZA2
3,SNRPG
3,TP53BP1
3,PDCD6IP
3,TNPO1
3,ARPC5L
3,SCIN
3,SIRT2
3,MAP7D2
3,AKAP2
3,ZCCHC8
3,HNRNPUL1
3,LTV1
3,RGS3
3,PURA
3,RNA28S5
3,RNR1
3,AEN
3,VIM
3,NUCKS1
3,HCFC1
3,HMGN1
3,COPS5
3,COX8A
3,ERH
3,HIST1H4J
3,HIST1H4D
3,TRIAP1
3,STAT2
3,SUGP1
3,SF3B1
3,NSRP1
3,CCNA2
3,RSBN1L
3,RRP15
3,BCAS2
3,PAF1
3,CDC42EP3
3,PAK2
3,MADD
3,EPS15L1
3,ARHGEF7
3,CBLL1
3,TAF9
3,HSPA14
3,SERPINA1
3,C18orf21
3,NTHL1
3,CBX3
3,DPYSL2
3,IWS1
3,RBM27
3,SCML2
3,AP3S1
3,CASC3
3,CCDC50
3,DRG2
3,ARHGAP17
3,C1orf52
3,DIAPH1
3,ERICH1
3,ANLN
3,ARHGEF18
3,ARHGEF2
3,ARPIN
3,AUNIP
3,BOD1L1
3,BRIP1
3,CDC5L
3,CENPE
3,CHMP1A
3,CTNNBIP1
3,CUEDC2
3,DDHD1
3,DPH7
3,DR1
3,DYNC1LI2
3,EP400
3,DGCR14
3,FIP1L1
3,FLYWCH2
3,GATAD2B
3,GPATCH11
3,GPATCH8
3,GPKOW
3,HMCES
3,ICA1
3,ICE2
3,JMJD1C
3,KIF4A
3,KIN
3,KNTC1
3,MAPRE2
3,MED27
3,MTMR4
3,PAPOLG
3,POLR2A
3,RCAN3
3,RPAP2
3,SF3A3
3,SPAG7
3,SPDL1
3,SRGAP2
3,TPX2
3,USP1
3,WBP4
3,WDHD1
3,WDR59
3,PRPF18
3,WDR70
3,BANP
3,DCUN1D5
3,MBD3
3,CXorf57
3,MAGEA8
3,SP100
3,KRT38
3,CCND2
3,GFI1
3,MAX
3,ZBTB17
3,CXXC1
3,RING1
3,ASXL2
3,ARHGEF12
3,ARHGEF6
3,PAK7
3,GIT1
3,KANSL2
3,MAP2K4
3,MAPKAPK2
3,SUZ12
3,MEIS1
3,PBX1
3,TSC2
3,RSF1
3,CECR2
3,CENPM
3,TADA3
3,DMAP1
3,STAG2
3,HRC
3,CHD2
3,SCG2
3,NSMCE4A
3,MAPK7
3,RPS6KB1
3,ORC1
3,SUFU
3,ITGB7
3,COL2A1
3,COL4A6
3,COL11A2
3,REPS1
3,FTH1
3,STK26
3,IRS1
3,FOXA2
3,USP42
3,EEF2KMT
3,WWTR1
3,TEAD3
3,TCF7L2
3,TTN
3,CACNA1B
3,RASAL3
3,SHC2
3,KCNQ2
3,SHC3
3,DCAF11
3,ERCC5
3,DZIP3
3,KLHL13
3,CDC34
3,TRIM11
3,KIF12
3,TMEM126B
3,RNF138
3,SH3RF1
3,UBE2E3
3,UBE2E2
3,POU2F1
3,PHAX
3,SMAD1
3,SRSF11
3,PACSIN1
3,WASF2
3,CCDC94
3,SLC2A13
3,NOL12
3,NUFIP1
3,MARK4
3,ZFYVE19
3,WNK2
3,DACH1
3,GAN
3,MED8
3,HPRT1
3,CLIC4
3,GABPA
3,CCDC6
3,DHX16
3,WIPF2
3,G6PC3
3,WARS
3,RANBP1
3,C20orf27
3,PDAP1
3,SNW1
3,PRC1
3,TCEAL4
3,ALKBH5
3,AURKA
3,RBM10
3,PCDH11Y
3,PCDH11X
3,NOTCH4
3,GUCY1A2
3,FAM220A
3,KCNH6
3,DNAH3
3,PSD2
3,XIRP1
3,AXIN1
3,DUX4
3,TPH2
3,CACNA1E
3,LMTK3
3,FAM71E2
3,BSN
3,ZFPM1
3,ENAH
3,SLCO6A1
3,MTL5
3,TEX28
3,RPS6KA4
3,CASZ1
3,NPC1L1
3,LTK
3,MEF2D
3,FBXO40
3,SLC45A4
3,SIX5
3,UAP1L1
3,ZNF653
3,SIRT4
3,LBX2
3,MAP2K5
3,DFNB31
3,PLEKHH1
3,HSF1
3,SPATA31D4
3,SPATA31D3
3,HIVEP1
3,DAP3
3,MAPK8IP2
3,CCDC17
3,PRDM7
3,TRIM22
3,RGL3
3,SYBU
3,SHANK3
3,PDZD7
3,ZFAT
3,HSPA12B
3,PRICKLE2
3,PRDM4
3,MYH13
3,SEPT8
3,ETV5
3,ZNF282
3,ZNF322
3,STARD9
3,FRAT1
3,MCM9
3,SLC18A3
3,PTF1A
3,PTGIS
3,KIRREL2
3,LPIN1
3,HIPK1
3,CRAMP1L
3,GPR63
3,CEP41
3,PAN3
3,SORBS3
3,ZNF330
3,SRA1
3,CKS1B
3,LGALSL
3,PPP3CB
3,DBNL
3,C21orf59
3,COPZ1
3,PDLIM3
3,TXNDC9
3,AKT1S1
3,C1orf198
3,EYA3
3,FRG1
3,RPP38
3,ASF1B
3,GTF2E2
3,ZNF362
3,NSMCE2
3,NELFE
3,GPATCH4
3,IRF2BP1
3,VPS72
3,RNF113A
3,C9orf78
3,MNAT1
3,FAM192A
3,RBBP5
3,CETN2
3,CDC40
3,NOSIP
3,PDDC1
3,RBPJ
3,SNRNP40
3,COPS7A
3,NRBF2
3,UBE2T
3,RBM7
3,DNAJC8
3,GATAD2A
3,TAF9B
3,GTF2B
3,GPALPP1
3,GPS2
3,MRFAP1
3,SUB1
3,ZCCHC9
3,ZMAT2
3,SYF2
3,DSN1
3,MAGOHB
3,MEA1
3,GABPB1
3,HDGF
3,BCL10
3,NANP
3,DNTTIP2
3,LYPLAL1
3,NUDT4
3,PPP1R10
3,RAD51AP1
3,HEY1
3,OTUD5
3,RTFDC1
3,CHEK1
3,C18orf25
3,ZNF207
3,SLAIN2
3,C12orf45
3,CWF19L1
3,TRIM33
3,KIAA0907
3,ZNF384
3,ZNF830
3,EIF4EBP1
3,FAM195A
3,ATG4C
3,BPNT1
3,KIAA1143
3,DNAJC17
3,TMSB10
3,CDX2
3,TLE4
3,NUDT3
3,FAM122B
3,IGBP1
3,C2orf49
3,PBK
3,NUDT11
3,RP9
3,ELL
3,TRIM6
3,NTAN1
8,M
8,PMPCB
8,SLC30A9
8,SLC25A21
8,AASS
8,RBM28
8,RPL36
8,PRKAR2A
8,PRKAR2B
8,CDK5RAP2
8,TBK1
8,POR
8,DNAJC11
8,RHOA
8,LMAN2
8,nsp8
8,MPHOSPH10
8,SRP72
8,ATE1
8,SRP19
8,SRP54
8,MRPS25
8,DDX10
8,LARP7
8,MEPCE
8,NGDN
8,EXOSC8
8,NARS2
8,CCDC86
8,SEPSECS
8,EXOSC5
8,EXOSC3
8,HECTD1
8,MRPS2
8,EXOSC2
8,MRPS27
8,PLD3
8,ORF9b
8,CHMP2A
8,TOMM70A
8,MARK3
8,MARK2
8,DCTPP1
8,MARK1
8,PTBP2
8,NDUFB9
8,ABCC10
8,KIAA1147
8,PLEKHG4
8,VPS13A
8,SLC29A3
8,ACSF2
8,HOOK2
8,ATP2A3
8,RNF145
8,ACADS
8,FPGS
8,TMTC4
8,MTFR1L
8,NR2C2
8,PPA2
8,C14orf159
8,SGSM3
8,ORC4
8,MALL
8,MIPEP
8,ATP8B2
8,PRPF39
8,UNC50
8,SPG11
8,MTHFD1L
8,SLC45A1
8,FANCI
8,SLC46A1
8,WDFY3
8,HARS2
8,C6orf120
8,NR5A2
8,ECI1
8,GPR37
8,MROH1
8,PYROXD2
8,RBFOX3
8,ACADSB
8,ELF3
8,PDPR
8,WDR72
8,GUF1
8,COX2
8,C2orf47
8,JAK2
8,AK4
8,FANCG
8,HSPA1A
8,SSBP1
8,FH
8,ATP5B
8,SURF4
8,HERC1
8,MTHFD1
8,SLC4A2
8,DTYMK
8,WWP2
8,STUB1
8,TBCE
8,PSAT1
8,NOTCH2
8,NAPA
8,USP34
8,ATR
8,OAT
8,FKBP8
8,TM9SF3
8,C19orf70
8,TMED7
8,ZMPSTE24
8,PTPMT1
8,GPD2
8,GOLIM4
8,GORASP2
8,NT5C3A
8,TGFBI
8,SERPINE1
8,SRPK2
8,TIMM44
8,YME1L1
8,SNAP47
8,NADK2
8,VPS13B
8,EIF2S1
8,ALAS1
8,ALDH3A2
8,RPL13A
8,POLDIP2
8,ERAL1
8,GLUD1
8,MRPS28
8,NDUFAF4
8,PRMT1
8,HSPA8
8,ARF4
8,ACADVL
8,NDUFS1
8,NDUFV2
8,NDUFV3
8,ATP5A1
8,OXA1L
8,PNPLA8
8,MRPS17
8,C17orf80
8,PRR11
8,SAR1A
8,CCDC47
8,PSMC1
8,RPL7
8,RPL12
8,RPL13
8,DDRGK1
8,UBA52
8,CAD
8,AAAS
8,GFM1
8,RAB11A
8,DPP9
8,DHRS3
8,SEC22B
